iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
factor(state)11,Conditional,2.707566894061692e-7,0.014701426231545148,0.7259275769891536,8867,0.014701724063903495,2.0258328686636216e-5,219378283.50813648,21929830910.80624,8864.026874429479,0.48828063804205224,0.9635745159362548,0.12125066624107059,"2.07 (1.63, 2.62)",1.6295120888923829,2.6210487290234306,H2
factor(state)12,Conditional,1.3882779291951577e-6,0.006104912913578207,0.4938076174156776,8867,0.006106440019300321,2.5008117942500484e-4,1445550.4548467991,143906526.83344552,8862.237907200668,0.3406487513002142,0.6469664835311408,0.07814371388218198,"1.64 (1.41, 1.91)",1.4058593478595922,1.9097388090731209,H2
factor(state)13,Conditional,2.889782215715251e-7,0.009287078092637686,0.3565454188305304,8867,0.009287395968681415,3.422660612303024e-5,76874508.79842415,7682716990.93115,8864.026874429479,0.16766146192467857,0.5454293757363822,0.09637113659535937,"1.43 (1.18, 1.73)",1.1825362093437823,1.725349046370784,H2
factor(state)14,Conditional,2.9653032499645293e-7,0.00809573357949084,0.5679859927464783,8867,0.008096059762848336,4.028914892561777e-5,55485718.982441984,5544550235.461277,8864.026874429479,0.39163214333445395,0.7443398421585027,0.08997810713083676,"1.76 (1.48, 2.11)",1.4793934065697742,2.105051310051192,H2
factor(state)15,Conditional,2.8817140070243e-7,0.01794600379528299,0.10636342082823302,8867,0.017946320783823765,1.766314915413728e-5,288565431.6099574,28847370794.560852,8864.026874429479,-0.15620095657245553,0.3689277982289216,0.13396387865325401,"1.11 (0.86, 1.45)",0.8553872774026876,1.4461831829179927,H2
factor(state)16,Conditional,7.947948930735519e-6,0.01151276836338486,0.24856954552157173,8867,0.011521511107208669,7.588191984937631e-4,158444.67314848534,15630248.7242826,8853.256256878816,0.038190322865973264,0.4589487681771702,0.10733830214424238,"1.28 (1.04, 1.58)",1.038928945997782,1.5824096309759645,H2
factor(state)17,Conditional,2.776517102106749e-7,0.012287039102748844,0.26826831114823646,8867,0.012287344519630075,2.485621533145856e-5,145735981.78303713,14567079964.729343,8864.026874429479,0.05100964504793015,0.48552697724854277,0.11084829506866614,"1.31 (1.05, 1.63)",1.052333043036895,1.625031137681939,H2
factor(state)18,Conditional,4.1639274653697166e-7,0.005544121033047221,0.21077741181858803,8867,0.005544579065068412,8.260898001731668e-5,13207892.603233967,1318827485.4423547,8864.026874429479,0.06483471006328206,0.356720113573894,0.07446193030716039,"1.23 (1.07, 1.43)",1.0669826483135805,1.4286359580790355,H2
factor(state)19,Conditional,5.874266090614148e-7,0.007170182003005602,0.04922213665816311,8867,0.007170828172275569,9.011082882529911e-5,11101781.58513468,1108379643.3637693,8864.026874429479,-0.11674906926091205,0.2151933425772382,0.08468074262945248,"1.05 (0.89, 1.24)",0.8898084454426718,1.2401016382359915,H2
factor(state)2,Conditional,2.363548579549084e-7,0.010434818029602895,0.13271336788883986,8867,0.010435078019946645,2.4915035925311518e-5,145048826.81468222,14498379854.679335,8864.026874429479,-0.06750132315816695,0.33292805893584665,0.10215222963766697,"1.14 (0.93, 1.40)",0.9347264838242284,1.3950469336987186,H2
