iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
factor(state)13,Conditional,1.3127884243070652e-6,0.15252171866460312,-1.0278642227454526,8864,0.15252316273186986,9.467855510420993e-6,1004183951.4542483,100401283889.14417,8861.027233735625,-1.7933127506365403,-0.2624156948543649,0.39054213950849126,"0.36 (0.17, 0.77)",0.16640798738478804,0.7691912084120353,W5
factor(state)14,Conditional,3.5641421686106794e-6,0.14684147707286915,-1.0945611464955167,8864,0.14684539762925464,2.66985308955348e-5,126321264.80884443,12626058002.290506,8861.027233735625,-1.8456274206081202,-0.3434948723829133,0.3832041200577763,"0.33 (0.16, 0.71)",0.15792620364406956,0.7092871180878444,W5
factor(state)15,Conditional,1.5326286244275037e-6,0.0963751435340421,-0.4020600348529865,8864,0.09637682942552897,1.749270542431523e-5,294215317.2719269,29412269995.04478,8861.027233735625,-1.0105233628668466,0.20640329316087352,0.31044617798505586,"0.67 (0.36, 1.23)",0.3640284107548858,1.2292488516978313,W5
factor(state)16,Conditional,8.851370075764647e-6,0.12477863302911826,-0.2576462217824533,8864,0.12478836953620161,7.802415497156177e-5,14804511.649240687,1478374155.827744,8861.027233735625,-0.9500112870910746,0.43471884352616813,0.3532539731357619,"0.77 (0.39, 1.54)",0.3867366582979822,1.5445287436436244,W5
factor(state)17,Conditional,1.5824797508562697e-6,0.11026847282494867,-0.05375692230726102,8864,0.1102702135526746,1.5786019359710176e-5,361260636.3357824,36115800659.467,8861.027233735625,-0.7046013618933569,0.5970875172788348,0.3320695914302823,"0.95 (0.49, 1.82)",0.4943055840278515,1.8168196314832747,W5
factor(state)18,Conditional,2.303405977496765e-6,0.03174281645633907,-0.05966053434720565,8864,0.031745350202914316,7.981473063144336e-5,14148165.019940805,1412786072.4774165,8861.027233735625,-0.4088717251214433,0.28955065642703204,0.1781722486890546,"0.94 (0.66, 1.34)",0.6643994526153859,1.335827107821585,W5
factor(state)19,Conditional,1.3725710900821111e-6,0.03279629423900901,-0.2179930106882803,8864,0.0327978040672081,4.60344295001103e-5,42504681.78866846,4246948344.6719046,8861.027233735625,-0.5729457030364133,0.13695968165985267,0.18110164015604083,"0.80 (0.56, 1.15)",0.5638620198693537,1.146781911245127,W5
factor(state)2,Conditional,5.687326042862403e-6,0.09769130807165835,-0.5995400764491299,8864,0.0976975641303055,6.40349501324776e-5,21973983.51682625,2194867754.2332096,8861.027233735625,-1.212158366987874,0.013078214089614293,0.3125660956186795,"0.55 (0.30, 1.01)",0.29755435434981775,1.0131641079692373,W5
factor(state)20,Conditional,1.6462725849689077e-6,0.0409518126681619,-0.05947386186717017,8864,0.040953623568005366,4.421830562706415e-5,46066361.80799417,4602971810.741653,8861.027233735625,-0.4561118058128263,0.3371640820784858,0.20237001647478653,"0.94 (0.63, 1.40)",0.6337429769886715,1.4009689187725598,W5
factor(state)21,Conditional,8.929920192823431e-7,0.03466437740039015,-0.28870523860653075,8864,0.03466535969161136,2.8336392004848613e-5,112143702.7477564,11208652515.887983,8861.027233735625,-0.6536237936138566,0.0762133164007951,0.18618635742613193,"0.75 (0.52, 1.08)",0.5201574141936336,1.0791927591204369,W5
factor(state)22,Conditional,2.5137795004435845e-6,0.04122185161331477,-0.529479958036027,8864,0.041224616770765256,6.7075394923959e-5,20028121.760399163,2000396254.4020836,8861.027233735625,-0.9274280299190677,-0.13153188615298633,0.20303846130909595,"0.59 (0.40, 0.88)",0.3955697968218524,0.8767513184654122,W5
factor(state)23,Conditional,3.197181825317226e-6,0.02965401331822613,-0.785133559569842,8864,0.029657530218233977,1.185837115218278e-4,6413852.105080131,640018357.966078,8860.827111028273,-1.1226660490989921,-0.44760107004069183,0.17221361798137214,"0.46 (0.33, 0.64)",0.3254110752094286,0.6391596130975589,W5
factor(state)24,Conditional,1.5175714808550054e-6,0.0409778063134433,-1.0699020148278477,8864,0.04097947564207224,4.073572447634403e-5,54276271.39518977,5423649557.226626,8861.027233735625,-1.466665128338819,-0.6731389013168765,0.20243387967944554,"0.34 (0.23, 0.51)",0.23069353713698232,0.5101048932782972,W5
factor(state)25,Conditional,9.101197816112186e-7,0.40904974173765307,-2.5343233397201828,8864,0.40905074286941284,2.447451269125176e-6,15025659221.876492,1502499730150.9639,8861.027233735625,-3.7878589731625363,-1.2807877062778295,0.6395707489163438,"0.08 (0.02, 0.28)",0.022644031467147486,0.27781837496196826,W5
factor(state)27,Conditional,7.932724821507568e-7,0.031207768207633674,-0.5309949820087073,8864,0.03120864080736404,2.7960196528646408e-5,115180939.2890738,11512299249.216291,8861.027233735625,-0.8772415827667973,-0.18474838125061738,0.1766596751026222,"0.59 (0.42, 0.83)",0.41592863547886383,0.8313134315842771,W5
factor(state)28,Conditional,3.095749710609521e-7,0.037976283490290204,-0.35134954136905117,8864,0.03797662402275837,8.966896793221415e-6,1119510731.9586527,111933006016.03662,8861.027233735625,-0.733299325156874,0.030600242418771573,0.19487591955590197,"0.70 (0.48, 1.03)",0.4803216356749863,1.0310732421442854,W5
