iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
factor(state)2,Conditional,1.4873579101473426e-5,0.09729589569626157,-0.5747176236775382,8864,0.09731225663327318,1.6812822534038955e-4,3193556.229456484,318391343.6573369,8860.264151983529,-1.1861266761519835,0.03669142879690701,0.3119491250721393,"0.56 (0.31, 1.04)",0.3054018965538216,1.0373728680517813,W3
factor(state)20,Conditional,1.0428848263636164e-6,0.040399185219287065,-0.18551156556645235,8864,0.040400332392596064,2.839514531346316e-5,111680220.66192196,11162316136.594994,8861.027233735625,-0.5794610715468121,0.20843794041390737,0.20099833927820415,"0.83 (0.56, 1.23)",0.5602001930501725,1.2317524856394844,W3
factor(state)21,Conditional,1.1289865275259594e-6,0.033497467206817726,-0.3782561655687634,8864,0.033498709091998,3.7072627988975566e-5,65527790.21816467,6548408492.001475,8861.027233735625,-0.7369815641271765,-0.01953076701035028,0.18302652565133284,"0.69 (0.48, 0.98)",0.4785562289492913,0.9806587227874372,W3
factor(state)22,Conditional,1.1621076751664425e-6,0.040917471226366166,-0.594910248111637,8864,0.04091874954480885,3.12404082945702e-5,92268463.44452961,9221660023.815598,8861.027233735625,-0.9913792776863847,-0.19844121853688929,0.20228383411634468,"0.55 (0.37, 0.82)",0.3710645368659319,0.8200079705920359,W3
factor(state)23,Conditional,3.165653527725606e-6,0.029266758301414557,-0.8493450877118227,8864,0.029270240520295056,1.1896789430492402e-4,6372538.532272185,635891412.3053048,8860.822910332337,-1.1846664620060472,-0.5140237134175982,0.17108547723373557,"0.43 (0.31, 0.60)",0.3058481744747348,0.59808421127394,W3
factor(state)24,Conditional,1.2384015293735926e-6,0.04066005775481486,-1.0880502033835642,8864,0.040661419996497174,3.3502068605284904e-5,80234494.06604876,8018613155.30001,8861.027233735625,-1.4832706109470493,-0.6928297958200791,0.20164677035969897,"0.34 (0.23, 0.50)",0.2268943902503116,0.5001587175558658,W3
factor(state)25,Conditional,9.645374023909574e-7,0.41388668087594843,-2.6000555997900987,8864,0.41388774186709104,2.563475636760371e-6,13696328384.175539,1369569642237.16,8861.027233735625,-3.8609809412656837,-1.339130258314514,0.6433410773975894,"0.07 (0.02, 0.26)",0.021047343185906994,0.2620735057388291,W3
factor(state)27,Conditional,1.1563981401576183e-6,0.032374173059105116,-0.5441216997443163,8864,0.03237544509705929,3.929020745073622e-5,58341951.88520022,5830071294.728815,8861.027233735625,-0.8967815063478426,-0.19146189314079015,0.17993177900820992,"0.58 (0.41, 0.83)",0.4078803096374349,0.8257510912875184,W3
factor(state)28,Conditional,1.8269759215566743e-6,0.037977238948666406,-0.37295272685158937,8864,0.03797924862218012,5.2915041413923076e-5,32173461.08907675,3214283868.555301,8861.027233735625,-0.7549157090015426,0.009010255298363745,0.19488265346659286,"0.69 (0.47, 1.01)",0.4700502340642923,1.0090509698395664,W3
factor(state)29,Conditional,1.6734548494825184e-6,0.04004811372421256,-0.7022080846869543,8864,0.040049954524546995,4.596260735583424e-5,42637567.90996063,4260231457.7727695,8861.027233735625,-1.0944455780046376,-0.30997059136927096,0.2001248473442191,"0.50 (0.33, 0.73)",0.3347251344905425,0.7334685262121545,W3
